"period","Burkina_Faso","Ethiopia","Malawi","Mali","Nigeria","Uganda"
"Before Covid",83.44639000000001,90.97254000000001,96.41581000000001,85.40432000000001,94.05404000000001,92.73356000000001
"April-June 2020",31.78293,28.02333,20.38822,36.04726,58.36434000000001,59.31611
