"incomelevelname","onlineplatforms","television","mobilephones","radio","takehomepackages","otherdistancelearningm","income"
"High income",0.9607843137254902,0.7560975609756098,0.7,0.2894736842105263,0.8863636363636364,0.2702702702702703,"High income"
"Low income",0.5454545454545454,0.8333333333333334,0.3,0.8333333333333334,0.4,0.1111111111111111,"Low income"
"Lower middle income",0.9565217391304348,0.9615384615384616,0.7619047619047619,0.8333333333333334,0.8636363636363636,0.125,"Lower middle income"
"Upper middle income",0.8857142857142857,0.9142857142857143,0.8235294117647058,0.5517241379310345,0.7419354838709677,0.27586206896551724,"Upper middle income"
