"iso3c","gni_per_capita","learning_poverty","unicef_total_closed","internet_users","EG.ELC.ACCS.ZS","population"
"SRB",7440,9.84429931640625,194,78.36804077,100,6899126
"SVK",19180,23.1746120452881,121,89.9209082,100,5458827
"SVN",25400,5.43238401412964,170,86.60130109,100,2102419
"SWE",54740,2.31327867507935,60,94.53943122,100,10353442
"TCD",630,94.4105453491211,128,10.4,11.080117225647,16644701
"TGO",900,81.6579208374023,60,24,53.9974327087402,8442580
"THA",6900,23.4157752990723,218,77.84374066,100,71475664
"TTO",13830,20.6445827484131,248,70.6,100,1518147
"TUN",3230,65.5328598022461,134,71.9,100,12161723
"TUR",9070,14.503026008606,194,77.66956038,100,84135428
"UGA",740,81.9233627319336,388,6.1,42.0744171142578,44404611
"UKR",3570,27.8803100585938,122,75.03790912,100,44132049
"URY",15950,43.6183662414551,126,86.1,100,3429086
"USA",64650,4.25183010101318,193,90.9,100,331501080
"VNM",3450,18.1209163665771,132,70.3,100,96648685
"ZAF",6090,78.9094924926758,196,70,84.3855361938477,58801927
"ZMB",1130,98.5042114257812,106,19.8,44.5244750976563,18927715
